Code;Year;Renewables (% equivalent primary energy);Fossil fuels (% equivalent primary energy)
DZA;1965;4,7630677;95,23693
DZA;1966;3,518747;96,481255
DZA;1967;4,2919536;95,708046
DZA;1968;5,4861946;94,51382
DZA;1969;3,1827636;96,817245
DZA;1970;4,6656837;95,33432
DZA;1971;2,4559188;97,54408
DZA;1972;3,2783434;96,721664
DZA;1973;4,175826;95,82417
DZA;1974;2,494738;97,505264
DZA;1975;1,3782818;98,62172
DZA;1976;1,4010223;98,598976
DZA;1977;0,88172823;99,11828
DZA;1978;0,6521151;99,34789
DZA;1979;0,5792936;99,420715
DZA;1980;0,4290016;99,57099
DZA;1981;0,5029403;99,49706
DZA;1982;0,57087004;99,42912
DZA;1983;0,25644946;99,74355
DZA;1984;0,51367354;99,48633
DZA;1985;0,72826535;99,271736
DZA;1986;0,26640448;99,73359
DZA;1987;0,5174273;99,48258
DZA;1988;0,17717436;99,82283
DZA;1989;0,22495823;99,77505
DZA;1990;0,1267387;99,87326
DZA;1991;0,277607;99,7224
DZA;1992;0,18375747;99,816246
DZA;1993;0,35028014;99,64972
DZA;1994;0,16257899;99,83742
DZA;1995;0,1822476;99,81776
DZA;1996;0,1288034;99,871185
DZA;1997;0,0744559;99,925545
DZA;1998;0,20617962;99,79382
DZA;1999;0,19274342;99,80727
DZA;2000;0,053235482;99,94677
DZA;2001;0,065218486;99,934784
DZA;2002;0,05167677;99,948326
DZA;2003;0,228104;99,7719
DZA;2004;0,2067869;99,79321
DZA;2005;0,43411878;99,56588
DZA;2006;0,16327195;99,83673
DZA;2007;0,15990457;99,840096
DZA;2008;0,1877543;99,81225
DZA;2009;0,21278548;99,78721
DZA;2010;0,11513238;99,884865
DZA;2011;0,2352599;99,76474
DZA;2012;0,22453195;99,77547
DZA;2013;0,064763196;99,93524
DZA;2014;0,117502466;99,8825
DZA;2015;0,096813366;99,90319
DZA;2016;0,14580712;99,85419
DZA;2017;0,24701829;99,75298
DZA;2018;0,28767928;99,71232
DZA;2019;0,29474697;99,70525
DZA;2020;0,29789943;99,7021
DZA;2021;0,26136735;99,73863
ARG;1965;1,1027236;98,89727
ARG;1966;1,0818976;98,9181
ARG;1967;1,0765653;98,92343
ARG;1968;1,2273394;98,77266
ARG;1969;1,0651699;98,93482
ARG;1970;1,3534116;98,64659
ARG;1971;1,2703215;98,729675
ARG;1972;1,2349966;98,765
ARG;1973;2,2836952;97,71629
ARG;1974;3,6298018;95,65713
ARG;1975;3,862203;94,36564
ARG;1976;3,5544236;94,718925
ARG;1977;3,9092395;95,0385
ARG;1978;5,2276783;92,913536
ARG;1979;6,7023063;91,688545
ARG;1980;9,552859;89,04034
ARG;1981;9,541531;88,713844
ARG;1982;11,229479;87,63311
ARG;1983;11,303474;86,70936
ARG;1984;12,132671;85,16596
ARG;1985;12,759556;83,84344
ARG;1986;12,298526;84,51689
ARG;1987;12,247486;84,30306
ARG;1988;8,417367;88,539986
ARG;1989;7,5435934;89,7142
ARG;1990;10,292679;85,68011
ARG;1991;9,081444;86,69702
ARG;1992;10,206743;86,200806
ARG;1993;12,216533;83,97763
ARG;1994;13,306406;82,85507
ARG;1995;12,535519;84,27296
ARG;1996;10,225038;86,55399
ARG;1997;12,514141;84,08763
ARG;1998;11,482152;85,44584
ARG;1999;9,226557;87,87606
ARG;2000;12,283858;85,20771
ARG;2001;15,937488;81,14664
ARG;2002;16,249306;81,259315
ARG;2003;14,408259;82,58988
ARG;2004;12,1855755;84,89297
ARG;2005;12,788524;84,82278
ARG;2006;13,449462;84,012314
ARG;2007;10,599154;87,13004
ARG;2008;10,437064;87,29217
ARG;2009;11,783506;85,64727
ARG;2010;11,661375;86,1685
ARG;2011;10,929448;87,20746
ARG;2012;10,216426;88,000984
ARG;2013;10,950079;87,3983
ARG;2014;11,038978;87,49811
ARG;2015;10,907397;87,26728
ARG;2016;10,167007;87,68685
ARG;2017;10,964719;87,46578
ARG;2018;11,39763;86,828384
ARG;2019;11,926772;85,77885
ARG;2020;12,179417;84,77002
ARG;2021;11,329249;85,81809
AUS;1965;5,5626216;94,43738
AUS;1966;5,0718946;94,92811
AUS;1967;4,9495487;95,05045
AUS;1968;4,8654675;95,13453
AUS;1969;5,086988;94,91301
AUS;1970;5,4214506;94,57855
AUS;1971;5,822727;94,17728
AUS;1972;5,599285;94,40072
AUS;1973;5,5886645;94,41133
AUS;1974;5,9551096;94,04489
AUS;1975;6,297008;93,70299
AUS;1976;5,7934213;94,20658
AUS;1977;5,269775;94,730225
AUS;1978;5,508696;94,4913
AUS;1979;5,1658406;94,83415
AUS;1980;4,862272;95,13773
AUS;1981;4,9303546;95,06965
AUS;1982;4,6367826;95,36322
AUS;1983;4,5344815;95,46551
AUS;1984;4,7184544;95,28153
AUS;1985;4,863155;95,13685
AUS;1986;4,7985597;95,20144
AUS;1987;4,532893;95,46712
AUS;1988;4,6416802;95,35832
AUS;1989;4,4199533;95,58004
AUS;1990;4,459391;95,5406
AUS;1991;4,7400618;95,25993
AUS;1992;4,731717;95,26828
AUS;1993;4,7594285;95,24058
AUS;1994;4,5271807;95,47281
AUS;1995;4,239725;95,76028
AUS;1996;4,236591;95,76341
AUS;1997;4,1458387;95,85416
AUS;1998;4,037756;95,96224
AUS;1999;4,0089335;95,99107
AUS;2000;3,9888778;96,01112
AUS;2001;3,870762;96,129234
AUS;2002;3,9314504;96,06856
AUS;2003;4,014969;95,98504
AUS;2004;4,0365605;95,96344
AUS;2005;4,3135533;95,68645
AUS;2006;4,233413;95,76658
AUS;2007;3,9767227;96,02327
AUS;2008;3,6813264;96,318665
AUS;2009;3,9202662;96,07973
AUS;2010;4,3128047;95,687195
AUS;2011;5,698981;94,30102
AUS;2012;5,700209;94,29979
AUS;2013;6,525869;93,47413
AUS;2014;5,979823;94,02018
AUS;2015;6,290021;93,709984
AUS;2016;7,1891756;92,81083
AUS;2017;6,750127;93,24988
AUS;2018;8,300061;91,69994
AUS;2019;8,880722;91,119286
AUS;2020;10,789811;89,2102
AUS;2021;12,933532;87,06647
AUT;1965;25,096407;74,903595
AUT;1966;25,840193;74,159805
AUT;1967;26,118929;73,88107
AUT;1968;25,099165;74,90083
AUT;1969;22,27537;77,72463
AUT;1970;24,770256;75,22975
AUT;1971;19,652302;80,3477
AUT;1972;19,524147;80,47585
AUT;1973;20,177391;79,82261
AUT;1974;23,734528;76,26547
AUT;1975;25,034246;74,96575
AUT;1976;20,90532;79,09468
AUT;1977;25,271305;74,7287
AUT;1978;24,244625;75,75538
AUT;1979;25,784454;74,215546
AUT;1980;26,826015;73,17398
AUT;1981;29,280653;70,719345
AUT;1982;30,31977;69,68023
